Year,Month,population,consumption,temp,dew,humidity,precip,windspeed,cloudcover,sealevelpressure
2010,1,96200,582,4.232258065,1.35483871,82.36129032,8.454774194,31.01935484,70.40322581,1015.022581
2010,2,96275,525,5.557142857,3.25,85.65714286,0.12275,33.51785714,69.38928571,1003.525
2010,3,96349,586,7.038709677,4.125806452,82.62258065,0.049322581,32.78064516,60.32580645,1016.851613
2010,4,96424,598,9.56,5.083333333,75.23,0.098866667,26.94666667,44.18,1019.556667
2010,5,96499,665,11.62258065,7.425806452,76.91612903,0.074645161,24.93548387,56.56129032,1017.619355
2010,6,96574,657,15.21666667,11.71666667,80.88,0.064266667,23.29,48.27,1017.63
2010,7,96649,695,17.40645161,14.86451613,86.36129032,0.02716129,22.76451613,59.79354839,1017.583871
2010,8,96724,646,16.81290323,15.00967742,89.64193548,0.063774194,26.36774194,60.6483871,1016.748387
2010,9,96799,593,15.42666667,11.36666667,77.54,0.0454,25.16666667,59.54666667,1016.413333
2010,10,96874,576,13.02258065,9.532258065,79.91612903,0.124451613,32.09032258,63.19032258,1013.135484
2010,11,96949,540,8.59,5.89,83.43666667,0.421433333,33.07666667,70.41,1006.62
2010,12,97025,553,4.180645161,1.04516129,80.71935484,0.165580645,31.51612903,76.06129032,1013.958065
2011,1,97100,554,6.374193548,4.093548387,85.54193548,0.057032258,31.58064516,73.76129032,1019.245161
2011,2,97183,505,7.992857143,6.446428571,90.24285714,0.082,30.51785714,76.72857143,1016.557143
2011,3,97266,574,8.203225806,5.267741935,82.50645161,0.025967742,26.10967742,49.65483871,1021.758065
2011,4,97349,607,12.52333333,7.77,74.68333333,0.005466667,24.16333333,39.23666667,1019.49
2011,5,97432,653,12.83870968,8.819354839,77.67741935,0.026,28.07741935,50.44516129,1019.787097
2011,6,97515,643,14.69666667,10.93,79.10666667,0.062833333,30.71,55.01,1017.456667
2011,7,97599,658,15.78709677,12.24516129,80.78709677,0.056870968,26.4,55.31935484,1014.941935
2011,8,97682,652,16.37096774,13.1516129,81.90322581,0.066774194,26.08709677,60.29354839,1015.029032
2011,9,97766,603,16.50666667,13.21,81.49333333,0.069,30.10666667,51.16,1016.2
2011,10,97849,591,14.1516129,10.7,80.50645161,0.047709677,30.92580645,60.20645161,1019.2
2011,11,97933,549,11.99333333,9.68,86.06,0.028833333,30.71333333,63.36,1016.75
2011,12,98016,559,9.241935484,6.183870968,81.64193548,0.212419355,43.79032258,72.30967742,1016.722581
2012,1,98100,575,7.951612903,5.235483871,83.37096774,0.055451613,34.25806452,65.98709677,1024.129032
2012,2,98175,572,5.451724138,2.4,81.44137931,0.028689655,26.16206897,65.07931034,1030.675862
2012,3,98249,575,9.34516129,6.235483871,82.31612903,0.024548387,25.51290323,45.61612903,1027.9
2012,4,98324,561,8.86,5.63,81.02,0.1321,35.26,55.73333333,1004.896667
2012,5,98399,602,12.22903226,9.574193548,84.77419355,0.074451613,26.38709677,53.26129032,1016.890323
2012,6,98474,587,14.37333333,12.21666667,87.42,0.131366667,31.37666667,65.28666667,1012.976667
2012,7,98549,637,15.92258065,12.99032258,84.00645161,0.187516129,28.19354839,58.31612903,1015.754839
2012,8,98624,634,17.42903226,14.48387097,83.68387097,0.060322581,27.93870968,56.12580645,1015.577419
2012,9,98699,586,14.88666667,11.42333333,80.64666667,0.099333333,27.22,55.94333333,1016.896667
2012,10,98774,567,12.97741935,10.77096774,86.95483871,0.219096774,32.0516129,71.84193548,1010.512903
2012,11,98849,545,9.306666667,6.593333333,83.61333333,0.175633333,35.02,64.62666667,1010.943333
2012,12,98925,554,8.303225806,5.941935484,85.50645161,0.238677419,41.63225806,67.71935484,1011.196774
2013,1,99000,552.6,6.409677419,4.635483871,88.78064516,0.131741935,32.6,74.16774194,1014.593548
2013,2,99075,506.9,4.971428571,2.085714286,82.34285714,0.071071429,32.04285714,61.85357143,1017.764286
2013,3,99149,571.7,5.206451613,2.590322581,83.74193548,0.129096774,31.31612903,66.81612903,1006.254839
